candidate_id,root_domain,source_url,source_class,topic,official_contact_url,asset_id,target_url,relevance,editorial_owner,indexable_path,no_link_sales,no_forced_exchange,public_contact_only,quality_decision,quality_reason,state,draft_id,user_approval,submitted_at,evidence_ref,live_url,rel_value,verified_at,follow_up_at,notes
cand_012,packagingstrategies.com,https://www.packagingstrategies.com/submissions-guidelines,editorial_contribution,spout pouch specification,https://www.packagingstrategies.com/submissions-guidelines,asset_guide_spout,https://gdhspack.com/blog/spout-pouch-packaging-guide,yes,yes,yes,yes,yes,yes,pass,Official submission and editorial pages accept nonbiased packaging articles and explicitly direct editors to add supplier links,submitted,draft_cand_012,approved,2026-07-17T15:37:25+08:00,smtp-accepted-private-ledger,,,,2026-07-24,Approved exact inquiry sent from sales@gdhspack.com; recipient SMTP server accepted the address and did not reject it
cand_013,foodengineeringmag.com,https://www.foodengineeringmag.com/ext/resources/files/Documents/Contributed-Byline-Article-Guidelines_DT_SR.pdf,editorial_contribution,packaging engineering and pouch filling,https://www.foodengineeringmag.com/contactus,asset_guide_spout,https://gdhspack.com/blog/spout-pouch-packaging-guide,yes,yes,yes,yes,yes,yes,pass,Official guide states non-paid editor-reviewed contributions and direct organization or company hyperlinks in author bios,submitted,draft_cand_013,approved,2026-07-17T15:43:18+08:00,smtp-accepted-private-ledger,,,,2026-07-24,Approved exact inquiry sent from sales@gdhspack.com to the destination confirmed by the user from the official contact control; recipient SMTP server accepted the address and did not reject it
cand_014,packagingnews.co.uk,https://www.packagingnews.co.uk/contactus,editorial_contribution,flexible packaging materials and printed pouch production,https://www.packagingnews.co.uk/contactus,asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,yes,yes,yes,unknown,yes,yes,hold,Official current page provides a dedicated press release route and separates editorial from advertising but does not explicitly establish that accepted coverage and source links are free of charge,blocked,,pending,,https://www.packagingnews.co.uk/contactus|https://www.packagingnews.co.uk/consents/terms-and-conditions,,,,,Reserve gap retained honestly; obtain explicit no-fee confirmation before promotion; no contact performed
cand_015,printmag.com,https://www.printmag.com/contact/,editorial_contribution,packaging artwork and print design,https://www.printmag.com/contact/,asset_guide_artwork,https://gdhspack.com/blog/how-to-prepare-artwork-for-custom-printed-pouches,yes,yes,yes,unknown,unknown,yes,hold,Official page accepts public longform queries but does not state outbound commercial-link or exchange policy,blocked,,pending,,https://www.printmag.com/contact/,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_016,foodmanufacture.co.uk,https://www.foodmanufacture.co.uk/Info/Press-Releases-Guidelines/,editorial_contribution,food manufacturing packaging material selection,https://www.foodmanufacture.co.uk/Info/Press-Releases-Guidelines/,asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,yes,yes,yes,unknown,yes,yes,hold,Official current guidance explains selective journalist-built coverage from nonpromotional food industry releases but does not positively establish no-fee coverage or a retained company source link,blocked,,pending,,https://www.foodmanufacture.co.uk/Info/Press-Releases-Guidelines/,,,,,Reserve gap retained honestly; fee and source-link policy require official confirmation; no contact performed
cand_017,pfionline.com,https://pfionline.com/submit-articles-to-processed-food-industry-magazine/,editorial_contribution,food production packaging materials,https://pfionline.com/submit-articles-to-processed-food-industry-magazine/,asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,yes,yes,unknown,yes,unknown,yes,hold,Official policy permits relevant company references but does not prove an indexed outbound hyperlink or exchange policy,blocked,,pending,,https://pfionline.com/submit-articles-to-processed-food-industry-magazine/,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_018,flexpack.org,https://hub.flexpack.org/,resource_citation,flexible packaging material advances,,asset_material_hub,https://gdhspack.com/materials,yes,yes,yes,unknown,unknown,unknown,hold,Official hub and general contact exist but no third-party commercial resource or citation submission route is stated,blocked,,pending,,https://hub.flexpack.org/,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_019,vendingmarketwatch.com,https://www.vendingmarketwatch.com/home/article/53073291/automatic-merchandiser-and-vendingmarketwatchcom-article-submission-guidelines,editorial_contribution,food and beverage packaging material sustainability,https://security.endeavorb2b.com/wp-content/uploads/AUTOM-Media-Kit.pdf,asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,yes,yes,yes,yes,yes,yes,pass,Official current guidelines state no charge selective publication editor revision and a byline biography plus optional link to a related company and explicitly include packaging sustainability topics,submitted,draft_cand_019,approved,2026-07-18T00:43:15+08:00,docs/matrix-signal/evidence/20260718-vendingmarketwatch-com-submitted.md#smtp-accepted-private-ledger,,,,2026-07-25,Approved exact inquiry sent from sales@gdhspack.com to the contribution address published in the official 2026 media kit; recipient SMTP server returned 250 and accepted it for queueing; editorial acceptance publication and backlink placement remain unconfirmed
cand_020,supplychainconnect.com,https://www.supplychainconnect.com/contribute,editorial_contribution,packaging supplier risk and material sourcing,https://www.supplychainconnect.com/contact-us,asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,yes,yes,yes,yes,yes,yes,pass,Official contribute page states accepted educational articles publish at no charge the contact page names the managing editor and official contributor pages expose Website and professional-link fields,submitted,draft_cand_020,approved,2026-07-18T00:17:08+08:00,docs/matrix-signal/evidence/20260718-supplychainconnect-com-submitted.md#smtp-accepted-private-ledger,,,,2026-07-25,Approved exact inquiry sent from sales@gdhspack.com to the user-confirmed official protected-route destination; recipient SMTP server returned 250 and accepted it for queueing; editorial acceptance publication and backlink placement remain unconfirmed
cand_021,recyclass.eu,https://tool.recyclass.eu/en/plastics/guidelines/,resource_citation,PE and PP flexible recycling design,,asset_material_hub,https://gdhspack.com/materials,yes,yes,yes,unknown,unknown,unknown,hold,Official feedback contact does not establish acceptance of third-party resources or outbound commercial citations,blocked,,pending,,https://tool.recyclass.eu/en/plastics/guidelines/,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_022,iopp.org,https://www.iopp.org/i4a/doclibrary/index.cfm?category_id=3&pageID=5017,resource_citation,packaging education and technical resources,,asset_guide_types,https://gdhspack.com/blog/types-of-flexible-packaging,yes,yes,yes,unknown,unknown,unknown,hold,Official library and generic feedback form do not provide a public resource-submission or link policy,blocked,,pending,,https://www.iopp.org/i4a/doclibrary/index.cfm?category_id=3&pageID=5017,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_023,pmmi.org,https://www.pmmi.org/resources,resource_citation,packaging machinery and pouching resources,,asset_guide_spout,https://gdhspack.com/blog/spout-pouch-packaging-guide,yes,yes,yes,unknown,unknown,unknown,hold,Official resource hub is association-authored and general departmental contact is not a zero-budget citation route,blocked,,pending,,https://www.pmmi.org/resources,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_024,sca.coffee,https://retail.sca.coffee/resources,resource_citation,coffee packaging freshness and consumer cues,,asset_guide_coffee,https://gdhspack.com/blog/coffee-bag-valve-and-material-guide,yes,yes,yes,unknown,unknown,no,fail,Recorded homepage is not a public submission or contact URL and no official citation proposal route is evidenced,disqualified,,pending,,https://retail.sca.coffee/resources,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_025,flexpack-europe.org,https://www.flexpack-europe.org/resource-efficiency-prevention,resource_citation,flexible pouch resource efficiency,,asset_guide_pouch_compare,https://gdhspack.com/blog/stand-up-pouch-vs-flat-bottom-pouch,yes,yes,yes,unknown,unknown,unknown,hold,Official research page and general enquiry form do not prove external-resource submission or link acceptance,blocked,,pending,,https://www.flexpack-europe.org/resource-efficiency-prevention,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_026,worldpackaging.org,https://www.worldpackaging.org/resources/41/,resource_citation,global packaging design for recycling guides,,asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,yes,yes,yes,unknown,unknown,unknown,hold,Official organization-authored resource page and general contact details do not state an external citation route,blocked,,pending,,https://www.worldpackaging.org/resources/41/,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_027,ellenmacarthurfoundation.org,https://www.ellenmacarthurfoundation.org/flexible-packaging/learn,resource_citation,flexible packaging circular economy strategies,,asset_solutions_hub,https://gdhspack.com/solutions,yes,yes,yes,yes,yes,no,fail,Official contact page says it cannot answer individual research-project queries and does not invite resource submissions,disqualified,,pending,,https://www.ellenmacarthurfoundation.org/flexible-packaging/learn,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_028,how2recycle.info,https://how2recycle.info/wp-content/uploads/2025/01/How2Recycle_GuidelinesForUse_Abbreviated.pdf,resource_citation,flexible film components and spouts,,asset_guide_spout,https://gdhspack.com/blog/spout-pouch-packaging-guide,yes,yes,no,yes,yes,no,fail,Official terms say users cannot submit or post content and prohibit using the service to advertise or sell goods,disqualified,,pending,,https://how2recycle.info/wp-content/uploads/2025/01/How2Recycle_GuidelinesForUse_Abbreviated.pdf,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_029,perfectpackaging.org,https://perfectpackaging.org/resources-2/,resource_citation,flexible packaging education and lifecycle resources,,asset_material_hub,https://gdhspack.com/materials,yes,yes,yes,unknown,unknown,unknown,hold,Official resources page exposes no submission or contact mechanism for adding an outside resource,blocked,,pending,,https://perfectpackaging.org/resources-2/,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_030,packagingdesignacademy.com,https://www.packagingdesignacademy.com/,resource_citation,press-ready artwork and packaging design curriculum,,asset_guide_artwork,https://gdhspack.com/blog/how-to-prepare-artwork-for-custom-printed-pouches,yes,unknown,yes,unknown,unknown,no,fail,Official homepage contains no claimed contributor route and is not a public submission URL,disqualified,,pending,,https://www.packagingdesignacademy.com/,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_031,packexpointernational.com,https://www.packexpointernational.com/the-show/faqs,mention_relationship,packaging exhibition supplier directory,,asset_solutions_hub,https://gdhspack.com/solutions,yes,yes,yes,no,yes,no,fail,Official show requires paid booth space and deposit while profile editing occurs after exhibitor login,disqualified,,pending,,https://www.packexpointernational.com/the-show/faqs,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_032,interpack.com,https://www.interpack.com/en/Exhibit/Information,mention_relationship,processing and packaging exhibition profile,,asset_options_hub,https://gdhspack.com/packaging-options,yes,yes,yes,no,yes,no,fail,Official catalogue profile follows paid exhibition admission and participation pricing,disqualified,,pending,,https://www.interpack.com/vis/v1/en/directory/l?lang_code=en,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_033,drupa.com,https://www.drupa.com/en/Exhibit/Trade_Fair_Participation/Become_an_exhibitor/Become_an_exhibitor,mention_relationship,printing and converting exhibition profile,,asset_guide_artwork,https://gdhspack.com/blog/how-to-prepare-artwork-for-custom-printed-pouches,yes,yes,yes,no,yes,no,fail,Official exhibitor profile requires paid trade-fair participation and accredited exhibitor login,disqualified,,pending,,https://www.drupa.com/en/Exhibit/Trade_Fair_Participation/Become_an_exhibitor/Become_an_exhibitor,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_034,worldofcoffee.org,https://europe.worldofcoffee.org/why-exhibit,mention_relationship,coffee industry exhibition supplier profile,,asset_guide_coffee,https://gdhspack.com/blog/coffee-bag-valve-and-material-guide,yes,yes,yes,no,yes,no,fail,Official route is paid booth booking with published rates rather than a zero-budget public mention route,disqualified,,pending,,https://europe.worldofcoffee.org/why-exhibit,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_035,industryweek.com,https://www.industryweek.com/industryweek-contributors-guidelines,editorial_contribution,manufacturing controls for printed packaging,https://www.industryweek.com/industryweek-contributors-guidelines,asset_guide_artwork,https://gdhspack.com/blog/how-to-prepare-artwork-for-custom-printed-pouches,yes,yes,yes,yes,yes,yes,pass,Official current guidelines accept manufacturing expertise at editor discretion publish accepted work online require source hyperlinks and separate nonpromotional editorial contribution from compensation,submitted,draft_cand_035,approved,2026-07-17T15:43:18+08:00,smtp-accepted-private-ledger,,,,2026-07-31,Approved exact inquiry sent from sales@gdhspack.com to the destination confirmed by the user from the official protected email control; recipient SMTP server accepted the address and did not reject it
cand_036,foodindustryexecutive.com,https://foodindustryexecutive.com/submit-an-article/,editorial_contribution,food packaging material selection,https://foodindustryexecutive.com/submit-an-article/,asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,yes,yes,yes,yes,yes,yes,pass,Official public route selectively accepts vendor-neutral food manufacturing articles permits a company link in the byline and author bio and reserves link editing to the publication team,submitted,draft_cand_036,approved,2026-07-18T00:18:24+08:00,docs/matrix-signal/evidence/20260718-foodindustryexecutive-com-submitted.md#smtp-accepted-private-ledger,,,,2026-07-25,Approved exact inquiry sent from sales@gdhspack.com to the user-confirmed official protected-route destination; recipient SMTP server returned 250 and accepted it for queueing; editorial acceptance publication and backlink placement remain unconfirmed
cand_037,qualitydigest.com,https://www.qualitydigest.com/content/editorial-submission-guidelines,editorial_contribution,printed packaging artwork quality controls,https://www.qualitydigest.com/content/editorial-submission-guidelines,asset_guide_artwork,https://gdhspack.com/blog/how-to-prepare-artwork-for-custom-printed-pouches,yes,yes,yes,yes,yes,yes,pass,Official current guidelines accept manufacturing quality articles by public editorial email guarantee an editorial response and direct authors to include website hyperlinks in the published biography,submitted,draft_cand_037,approved,2026-07-17T15:37:25+08:00,smtp-accepted-private-ledger,,,,2026-07-24,Approved exact inquiry sent from sales@gdhspack.com; recipient SMTP server accepted the address and did not reject it
cand_038,manufacturingtomorrow.com,https://www.manufacturingtomorrow.com/associates.php,editorial_contribution,manufacturing quality controls for flexible packaging,https://www.manufacturingtomorrow.com/associates.php,asset_guide_artwork,https://gdhspack.com/blog/how-to-prepare-artwork-for-custom-printed-pouches,yes,yes,yes,unknown,yes,yes,hold,Official contributor route permits company links but the official services page classifies contributions as promotional opportunities and separately sells sponsored articles so the free editorial path is not positively distinguished,blocked,paid-placement ambiguity,pending,,https://www.manufacturingtomorrow.com/associates.php,,,,,Third-review downgrade; no_link_sales remains unknown until an official source separates this route from paid promotion
cand_039,foodsafetynews.com,https://www.foodsafetynews.com/write-for-fsn/,editorial_contribution,food packaging safety and material selection,https://www.foodsafetynews.com/write-for-fsn/,asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,yes,yes,yes,unknown,yes,yes,hold,Official contributor route offers author website links but the current official media kit sells sponsored editorial and the write page does not explicitly distinguish a free route,blocked,paid-placement ambiguity,pending,,https://www.foodsafetynews.com/write-for-fsn/,,,,,Third-review downgrade; no_link_sales remains unknown pending explicit official separation from sponsored editorial
cand_040,globalior.com,https://www.globalior.com/write-for-us/,editorial_contribution,packaging sourcing and cross-border supply chain,https://www.globalior.com/write-for-us/,asset_material_hub,https://gdhspack.com/materials,yes,unknown,yes,unknown,yes,yes,hold,Official page permits outbound links and says contributors are not paid but does not establish independent editorial ownership or state that contributors never pay for placement,blocked,editorial and payment ambiguity,pending,,https://www.globalior.com/write-for-us/,,,,,Third-review downgrade; editorial_owner and no_link_sales remain unknown
